tweet_id	tweet_time	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate
830092206367182848	2017-02-10 11:32:59-05:00	"Be loyal. Be a friend...\n#youversion #RightJudgment #SpiritualProse #Inspiration #Charlotte\u2026 https://t.co/0hMtko8eOR"	[35.22694444, -80.84333333]	35.22694444	-80.84333333	35.0
830092091971796992	2017-02-10 11:32:31-05:00	"@MacStoddard this destroyed my optimistic view of politics"	[35.50044054, -80.84552146]	35.50044054	-80.84552146	53.0
830092001706012673	2017-02-10 11:32:10-05:00	"We're #hiring! Click to apply: HRIS Manager - https://t.co/DYxvaW5Oix #RHFAJobs #BusinessMgmt #Charlotte, NC #Job #Jobs"	[35.2150714, -80.8294747]	35.2150714	-80.8294747	37.0
830091953920421890	2017-02-10 11:31:58-05:00	"@MacStoddard why Mac WHY?"	[35.50044054, -80.84552146]	35.50044054	-80.84552146	53.0
830091596389564416	2017-02-10 11:30:33-05:00	"#repost @Jalexanderfunny PUT THE THING DOWN! Is too much information\u2026 https://t.co/GOLXoFnA0G"	[35.242179, -80.825246]	35.242179	-80.825246	38.0
830091453225377793	2017-02-10 11:29:59-05:00	"Had some visitors in the office today so we decided to snap a\u2026 https://t.co/NTYUAyLtad"	[35.4474, -80.89149]	35.4474	-80.89149	48.0
830091425102454784	2017-02-10 11:29:52-05:00	"Interested in a #job in #MintHill, NC? This could be a great fit: https://t.co/1LTlCvAKwi #Cosmetology #Hiring #CareerArc"	[35.1704615, -80.6610327]	35.1704615	-80.6610327	52.0
830091347474329600	2017-02-10 11:29:34-05:00	"Friday special: The Gouda-cris\nPull the ROLL OUT\nI got twin half hoagies, from Charlotte\nMe and\u2026 https://t.co/SVsmGFl9Et"	[35.24784335, -80.80393085]	35.24784335	-80.80393085	47.0
830091201302769665	2017-02-10 11:28:59-05:00	"Man, I love #habitatforhumanity just picked up this amazing set for $5!!! Can't wait to get down\u2026 https://t.co/vgvQd8Sou4"	[35.22694444, -80.84333333]	35.22694444	-80.84333333	35.0
830091158814552065	2017-02-10 11:28:49-05:00	"We're #hiring! Read about our latest #job opening here: Business Intelligence (BI) Consultant - https://t.co/lnDoO3huLq #Charlotte, NC"	[35.2246102, -80.8429686]	35.2246102	-80.8429686	35.0
830091031752306689	2017-02-10 11:28:18-05:00	"Can you recommend anyone for this #job in #Charlotte, NC? https://t.co/jruOo6gvvR #IT #Veterans #Hiring #CareerArc"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830090848985456641	2017-02-10 11:27:35-05:00	"This #job might be a great fit for you: Hmong Onsite Interpreters in Charlotte, NC - https://t.co/nutOzGKQPI #interpreter #Charlotte, NC"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830090418750685185	2017-02-10 11:25:52-05:00	"\ud83d\udea8 CIAA PARTY HEADQUARTERS \ud83d\udea8 ARE YOU ON THE LIST ??? \ud83d\udcbb Log on now to\u2026 https://t.co/Wv6HEzUYP9"	[35.22707, -80.84631]	35.22707	-80.84631	37.0
830090362735644672	2017-02-10 11:25:39-05:00	"Can you recommend anyone for this #job? Material Handler - https://t.co/1RkfwUExq8 #Charlotte, NC #Hiring #CareerArc"	[35.3301529, -80.7325287]	35.3301529	-80.7325287	46.0
830090318900981761	2017-02-10 11:25:29-05:00	"See our latest #Charlotte, NC #job and click to apply: Shift Supervisor - Beaudevin Wine Bar - https://t.co/SRaz5v1m82 #Hospitality"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830089965509832704	2017-02-10 11:24:04-05:00	"Can you recommend anyone for this #job? CDL Class A, Team Company Driver, Reefer Freight, OTR - https://t.co/wVkth0aDzO #Charlotte, NC"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830089615268683776	2017-02-10 11:22:41-05:00	"See our latest #Charlotte, NC #job and click to apply: Assistant Project Manager - Civil Engineering - https://t.co/Z0nGsJZVZR #Engineering"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830089552735924224	2017-02-10 11:22:26-05:00	"\ud83d\udc46CLICK THE LINK\ud83d\udc46 #LHETheAnastasiaArticles #RedClayisJimmyJump #datpiff #mixtape #redclay #jimmy\u2026 https://t.co/LBfNYIm7JX"	[35.22694444, -80.84333333]	35.22694444	-80.84333333	35.0
830089223269068800	2017-02-10 11:21:07-05:00	"Can you recommend anyone for this #job? RN - Registered Nurse Residency Program - https://t.co/M2lnOyRIxj #Nursing #Charlotte, NC #Hiring"	[35.2270869, -80.8431267]	35.2270869	-80.8431267	35.0
830089175223316481	2017-02-10 11:20:56-05:00	"We're #hiring! Click to apply: Support Associate - https://t.co/YseQUji2Da #Retail #Charlotte, NC #Job #Jobs #CareerArc"	[35.3202223, -80.8875861]	35.3202223	-80.8875861	39.0
