tweet_id	tweet_time	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate
834251419695849472	2017-02-21 23:00:12-05:00	"Wind 4.0 mph S. Barometer 29.92 in, Steady. Temperature 46.4 \u00b0F. Rain today 0.01 in. Humidity 53%"	[42.53805556, -78.50194444]	42.53805556	-78.50194444	-1
834251435961356288	2017-02-21 23:00:16-05:00	"Oh didn't realize it was taking another month off \n#aos"	[40.66666667, -73.92362286]	40.66666667	-73.92362286	70.0
834251479733133313	2017-02-21 23:00:27-05:00	"Cleared: Construction on #Q46Q46LTD EB at 260th Street between 74th Avenue and Little Neck Parkway"	[40.748971, -73.715933]	40.748971	-73.715933	44.0
834251479716356096	2017-02-21 23:00:27-05:00	"Cleared: Construction on #Q46Q46LTD EB at 260th Street between 74th Avenue and Little Neck Parkway"	[40.748971, -73.715933]	40.748971	-73.715933	44.0
834251492123144193	2017-02-21 23:00:30-05:00	"New Webcast &amp; Tutorial \"How to Make an Effective Video Reel\"\u2026 https://t.co/OGd3NkcCZy"	[40.69705556, -73.99644444]	40.69705556	-73.99644444	66.0
834251537543098369	2017-02-21 23:00:40-05:00	"uh? @ Whitney Museum of American Art https://t.co/sAD2HPJy8G"	[40.7395067, -74.0085763]	40.7395067	-74.0085763	61.0
834251552407769089	2017-02-21 23:00:44-05:00	"Faith, by @lakestreetdive @ Music Hall of Williamsburg https://t.co/9i5T4zA3Kl"	[40.71921484, -73.96171877]	40.71921484	-73.96171877	84.0
834251590567620608	2017-02-21 23:00:53-05:00	"The College Girl's Guide to Leather  https://t.co/jDgkafUiN1"	[40.7207559, -74.0007613]	40.7207559	-74.0007613	62.0
834251594518626305	2017-02-21 23:00:54-05:00	"Beauty in films \ud83d\udc8b\ud83d\udc84\ud83c\udfac\u2728\u2728\u2728 Gong Li as Empress Phoenix \ud83d\udc51\ud83d\udca5\ud83d\udca5\ud83d\udca5in \" Curse Of The Golden Flower\"\u2026 https://t.co/tPO4sUVrQR"	[40.7142, -74.0064]	40.7142	-74.0064	65.0
834251674491428865	2017-02-21 23:01:13-05:00	"THE KING'S ARMY UPDATE:  Daniel going ass to the floor and making coach happy. Learn people\u2026 https://t.co/NpYLdY6Lxh"	[40.7142, -74.0064]	40.7142	-74.0064	64.0
834251675414192128	2017-02-21 23:01:13-05:00	"Friends since we were 14 year old freshmen. Now living a 14 stop ride on the F train away from\u2026 https://t.co/eTbvP0eGGL"	[40.6882, -73.9959]	40.6882	-73.9959	63.0
834251730841911297	2017-02-21 23:01:26-05:00	"Unicorn Latte, no coffee, all natural ingredients plus stars. @ Williamsburg, Brooklyn https://t.co/5MD88t18Px"	[40.7, -73.95]	40.7	-73.95	79.0
834251790879109120	2017-02-21 23:01:41-05:00	"Is @realdonaldtrump just Kramer from @seinfeldtv in real life? #alternativefacts @ New York, New\u2026 https://t.co/d5ZKxy7pIa"	[40.7142, -74.0064]	40.7142	-74.0064	64.0
