tweet_id	tweet_text	tweet_coordinates	lat_origin	long_origin	uber_estimate	zip_code	eastern_time	hours	weekday	day_hour	Is_Traffic_Related	County	Neighbourhood	Neighbourhood_code	Is_weekend
833209000409849856	Hey Kiefer #canadaud83cudde8ud83cudde6 @ The Levee https://t.co/61Em6P5qXE	[40.71646768, -73.96162046]	40.71646768	-73.96162046	79	11249	2017-02-19 01:58:00-05	1	6	145	f	Brooklyn	Central Brooklyn	5	1
833209134895894528	ud83cudf20 @zombiesinmiami with the live set ud83cudf20 @ Good Room https://t.co/Y0l4STrwZv	[40.72692631, -73.95288815]	40.72692631	-73.95288815	84	11222	2017-02-19 01:58:32-05	1	6	145	f	Brooklyn	Greenpoint	13	1
833209142303191040	u30cbu30e5u30fcu30e8u30fcu30af5u65e5u76eeu524du7de8uff01u30c8u30c3u30d7u30aau30d6u30b6u30edu30c3u30afuff01uff01u67f5u306au3057u30acu30e9u30b9u306eu307fu306eu958bu653eu611fu3059u3054u304bu3063u305fuff01uff01360u5ea6u5730u5e73u7ddau307eu3067u898bu3048u305fud83dude33uff01 #u30c8u30c3u30d7u30aau30d6u30b6u30edu30c3u30af #u663cu9593u306eu666fu8272u3082u6700u9ad8 @ Top Of The Rock NYC https://t.co/mFNZq5hZvN	[40.75906157, -73.97936699]	40.75906157	-73.97936699	71	10111	2017-02-19 01:58:34-05	1	6	145	f	New York	Upper East Side	33	1
833209143834054656	Just posted a photo @ Times Square, New York City https://t.co/JGhJKHIbmq	[40.75839, -73.98644]	40.75839	-73.98644	65	10036	2017-02-19 01:58:34-05	1	6	145	f	Manhattan	Chelsea and Clinton	8	1
833209216601055232	We saved room for dessert! #mybesties #bff #ilovethemu2026 https://t.co/cpQ5FcVC4k	[40.72923167, -73.98911677]	40.72923167	-73.98911677	70	10003	2017-02-19 01:58:52-05	1	6	145	f	Manhattan	Lower East Side	19	1
833749994536460288	If I ever get a dog this would be the one and I would name him PINKY! Lol! @ New York, New York https://t.co/IAzJeb7iaa	[40.7142, -74.0064]	40.7142	-74.0064	65	10007	2017-02-20 13:47:43-05	13	0	13	f	Manhattan	Lower Manhattan	20	0
833750065512538117	Happy Presidents' Day from Madison Square Park!\n\nThis is the statue of the 21st Presidentu2026 https://t.co/9BQnhXTGfj	[40.74208978, -73.98823897]	40.74208978	-73.98823897	70	10010	2017-02-20 13:48:00-05	13	0	13	f	Manhattan	Gramercy Park and Murray Hill	12	0
833750069350322176	This #job might be a great fit for you: Accounting and Tax Assistant - https://t.co/A48uV6e8Kn #NewYork, NY #Hiring #CareerArc	[40.7555465, -73.9808543]	40.7555465	-73.9808543	67	10036	2017-02-20 13:48:01-05	13	0	13	f	Manhattan	Chelsea and Clinton	8	0
833750078384926720	#MacBar pro tip, in the rare case you don't finish your @Mac_Bar mac n' cheese, save theu2026 https://t.co/NFqvRKP7le	[40.72361256, -73.99618354]	40.72361256	-73.99618354	68	10012	2017-02-20 13:48:03-05	13	0	13	f	Manhattan	Greenwich Village and Soho	14	0
833750082411442180	New PJ Masks ride ons. Which is your favorite? #jakksnytf17 #jakkstoys #jakkspacific #toyfairu2026 https://t.co/oLYM2irrHm	[40.75759435, -74.0011794]	40.75759435	-74.0011794	72	10018	2017-02-20 13:48:04-05	13	0	13	f	Manhattan	Chelsea and Clinton	8	0
833750090858758145	These vibrant new S-Series timepieces are blinding us with their shimmering color, theseu2026 https://t.co/ZsdA2yauWd	[40.7261499, -74.00077]	40.7261499	-74.00077	72	10012	2017-02-20 13:48:06-05	13	0	13	f	Manhattan	Greenwich Village and Soho	14	0
833750091974451200	ud83dude4fud83cudffdu26eaufe0fud83dude4fud83cudffdu26eaufe0f @ The VNYL Vintage New York Lifestyle https://t.co/XtsRC8r7HT	[40.73246, -73.98802]	40.73246	-73.98802	69	10003	2017-02-20 13:48:06-05	13	0	13	f	Manhattan	Lower East Side	19	0
833750104549027841	Grab him by the pussy #fuckdonaldtrump @ Trump International Hotel and Tower https://t.co/RhHYZPzMZW	[40.769137, -73.981572]	40.769137	-73.981572	80	10023	2017-02-20 13:48:09-05	13	0	13	f	Manhattan	Upper West Side	34	0
833750111855353857	We're #hiring! Read about our latest #job opening here: Financial Operations Examiner - Member Regulation,... - https://t.co/VhIt1ApD1f	[40.7127837, -74.0059413]	40.7127837	-74.0059413	74	10007	2017-02-20 13:48:11-05	13	0	13	f	Manhattan	Lower Manhattan	20	0
833750128456503297	Ambiance u2615ud83cudf43ud83cudf77 #BetterThanSex  #girltime @ Williamsburg, Brooklyn https://t.co/eY3Ya20QUE	[40.7, -73.95]	40.7	-73.95	74	11206	2017-02-20 13:48:15-05	13	0	13	f	Brooklyn	Bushwick and Williamsburg	2	0
833750156692500480	On my way to pickup my nephew and my amber and take them to Pelhamu2026 https://t.co/qQEapR1wdi	[40.8178101, -73.9156799]	40.8178101	-73.9156799	54	10455	2017-02-20 13:48:22-05	13	0	13	f	Bronx	Hunts Point and Mott Haven	15	0
833750220655706112	This Friday it's all about Black Rose Chapter 2 With harmonikband inside Amadeus foru2026 https://t.co/lr1QMZs6kU	[40.73934858, -73.88456875]	40.73934858	-73.88456875	67	11373	2017-02-20 13:48:37-05	13	0	13	t	Queens	West Queens	36	0
833750221762945024	En Brooklyn lager och en burgare fru00e5n shake shack smakau2026 https://t.co/9WwbXuU5n6	[40.69215, -73.988886]	40.69215	-73.988886	69	11201	2017-02-20 13:48:37-05	13	0	13	f	Brooklyn	Northwest Brooklyn	24	0
833750270299471872	Tiana from toys_andme came by to check out some products and take a ride on the new Spider-Manu2026 https://t.co/hQUFmB4Bsn	[40.75759435, -74.0011794]	40.75759435	-74.0011794	72	10018	2017-02-20 13:48:49-05	13	0	13	f	Manhattan	Chelsea and Clinton	8	0
833750289802944512	Can you recommend anyone for this #job? MCAT INSTRUCTOR - Brooklyn, NY - https://t.co/BjCP4IDrPW #Education #NewYork, NY #Hiring	[40.6781784, -73.9441579]	40.6781784	-73.9441579	61	11216	2017-02-20 13:48:54-05	13	0	13	f	Brooklyn	Central Brooklyn	5	0
833750343410384897	Words to live by. \n-\n-\n-\n#mondaymotivation #monday #smile #sparkle  #shineeu2026 https://t.co/0IMvOWqFzp	[40.7142, -74.0064]	40.7142	-74.0064	65	10007	2017-02-20 13:49:06-05	13	0	13	f	Manhattan	Lower Manhattan	20	0
833750343590764544	Tonight bar 13 open 7pm-3am @ Bar 13 - Union Sq https://t.co/TPHwAmlyLb	[40.73459136, -73.99217561]	40.73459136	-73.99217561	68	10003	2017-02-20 13:49:06-05	13	0	13	f	Manhattan	Lower East Side	19	0
833750350012219392	#NotMyPresident @ Central Park https://t.co/Pj6u1YcVwk	[40.77274259, -73.972216]	40.77274259	-73.972216	80	10019	2017-02-20 13:49:08-05	13	0	13	f	Manhattan	Chelsea and Clinton	8	0
833750382773993479	#ChroniclesofJonDavid: If you want to play, you're going to have to work ... and I love to play.u2026 https://t.co/QCo2ouAcsE	[40.77067999, -73.86340328]	40.77067999	-73.86340328	74	11371	2017-02-20 13:49:16-05	13	0	13	f	Queens	West Queens	36	0
833750384384626688	FIRST OF ALL... May name isn't OSVALDO V! Lol My lawyer just got my call. I've been out for au2026 https://t.co/yxMifDjot6	[40.73361111, -74.00166667]	40.73361111	-74.00166667	63	10014	2017-02-20 13:49:16-05	13	0	13	f	Manhattan	Greenwich Village and Soho	14	0
833750386737573892	#missfinch #ss17 #collection #fashionshop #clothingbrand #botique #modestfashion #modestclothingu2026 https://t.co/chSLsnlDP6	[40.7535, -73.9888]	40.7535	-73.9888	70	10018	2017-02-20 13:49:17-05	13	0	13	f	Manhattan	Chelsea and Clinton	8	0
833750421839630336	@chinothenobody In His Bag ud83cudf92 On The  Corona United " Remix ud83dudd25ud83dudd25ud83dudd25ud83dudd25ud83dudd25 Click The Link In My Bio Now 2u2026 https://t.co/CcEJMCd939"	[40.7422409, -73.8724594]	40.7422409	-73.8724594	70	11373	2017-02-20 13:49:25-05	13	0	13	f	Queens	West Queens	36	0
833750465330372609	Can you recommend anyone for this #job? Sales Associate - https://t.co/TmeD63YJ8r #Retail #NewYork, NY #Hiring #CareerArc	[40.7602619, -73.9932872]	40.7602619	-73.9932872	70	10036	2017-02-20 13:49:35-05	13	0	13	f	Manhattan	Chelsea and Clinton	8	0
833750515171352577	#NYC Amando el Frio ! #PierreDulanto #LifeSTYLE #nyfw @pierredulanto @pierredulanto @rdfw @ Newu2026 https://t.co/P4B70fnMNC	[40.7142, -74.0064]	40.7142	-74.0064	65	10007	2017-02-20 13:49:47-05	13	0	13	f	Manhattan	Lower Manhattan	20	0
